iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,82,64,77,62,65,74,66
2,61,58,74,69,50,104,74
3,67,63,57,66,64,113,60
4,54,54,58,74,49,149,52
5,63,85,58,54,56,127,47
6,47,83,53,47,55,144,61
7,53,74,55,45,40,173,50
8,43,80,46,44,46,175,56
9,38,84,59,47,46,170,46
10,46,61,48,43,53,190,49
11,56,51,44,48,39,215,37
12,45,73,33,31,35,232,41
13,51,60,29,28,52,224,46
14,46,62,32,38,42,227,43
15,38,59,31,37,43,252,30
16,35,44,36,38,39,255,43
17,27,49,39,28,33,281,33
18,38,42,29,37,28,281,35
19,36,33,46,32,28,279,36
20,29,39,32,25,32,303,30
21,35,40,32,23,32,298,30
22,23,50,35,26,38,293,25
23,29,45,31,28,32,297,28
24,34,38,22,38,26,305,27
25,30,19,20,21,28,339,33
26,28,36,17,29,22,332,26
27,17,29,26,25,22,355,16
28,30,28,21,18,23,340,30
29,24,23,17,26,22,354,24
30,20,32,26,13,16,352,31
31,22,29,26,23,23,350,17
32,18,27,19,31,20,349,26
33,25,19,20,22,20,362,22
34,15,32,17,24,21,360,21
35,21,21,18,19,19,377,15
36,21,27,21,22,16,362,21
37,15,23,21,24,19,376,12
38,21,19,7,19,17,395,12
39,23,16,14,18,18,380,21
40,17,12,13,24,18,387,19
41,24,20,25,14,13,378,16
42,8,16,15,28,19,380,24
43,13,15,17,18,12,397,18
44,16,20,20,23,15,380,16
45,15,12,20,16,12,398,17
46,11,18,23,23,14,385,16
47,14,10,18,13,16,403,16
48,11,13,16,21,19,397,13
49,18,13,8,10,10,420,11
50,15,15,14,20,20,392,14
51,19,9,13,12,10,409,18
52,14,9,21,6,15,413,12
53,14,16,14,14,18,400,14
54,10,9,14,14,10,423,10
55,14,12,18,11,17,404,14
56,13,14,13,16,18,399,17
57,12,13,21,15,13,405,11
58,14,14,12,18,12,412,8
59,15,9,13,22,14,404,13
60,14,18,12,13,21,403,9
61,13,10,18,17,16,400,16
62,8,13,19,10,12,407,21
63,14,15,14,10,16,407,14
64,6,9,11,8,14,429,13
65,13,15,15,10,17,407,13
66,14,14,9,11,13,414,15
67,13,18,14,15,11,410,9
68,13,13,13,11,12,418,10
69,24,18,11,16,15,390,16
70,15,13,11,11,12,415,13
71,6,9,12,9,13,428,13
72,14,8,17,16,15,410,10
73,14,17,16,14,15,404,10
74,12,9,18,10,16,408,17
75,13,10,10,13,10,413,21
76,11,14,10,15,11,420,9
77,16,10,12,17,15,409,11
78,34,13,17,12,9,386,19
79,55,13,12,16,10,370,14
80,75,15,14,14,11,346,15
81,104,11,9,10,10,331,15
