iteration,exchangeRandom,inversion,swap,scramble,addRandomly,shift
0,70,70,70,70,70,70
1,64,78,84,66,60,68
2,72,77,51,69,94,57
3,58,69,60,66,105,62
4,56,60,57,50,136,61
5,59,56,62,51,142,50
6,57,52,50,54,151,56
7,55,48,44,54,164,55
8,45,63,52,54,147,59
9,47,50,45,61,170,47
10,55,37,52,53,171,52
11,32,52,45,41,212,38
12,43,40,46,41,203,47
13,34,39,37,33,233,44
14,40,33,36,29,246,36
15,29,41,28,46,237,39
16,35,32,32,37,245,39
17,39,36,31,30,237,47
18,37,34,30,27,261,31
19,37,29,23,29,269,33
20,35,27,30,43,253,32
21,24,26,30,28,291,21
22,25,27,29,26,286,27
23,28,28,26,27,281,30
24,26,23,24,52,269,26
25,28,31,12,66,258,25
26,22,32,32,84,232,18
27,17,15,23,103,234,28
28,24,36,14,113,212,21
29,23,28,17,116,210,26
30,25,17,14,152,192,20
31,26,17,19,173,163,22
32,20,19,25,167,169,20
33,19,19,20,194,145,23
34,19,18,17,193,151,22
35,13,20,22,201,153,11
36,19,21,21,210,121,28
37,19,15,22,204,144,16
38,20,14,15,227,127,17
39,17,23,19,227,124,10
40,16,16,24,256,95,13
41,12,12,16,266,98,16
42,18,10,21,264,87,20
43,18,19,21,260,89,13
44,17,19,20,271,80,13
45,8,23,20,286,66,17
46,14,15,12,288,70,21
47,15,11,26,287,69,12
48,14,10,16,281,86,13
49,15,18,14,301,57,15
50,12,21,15,286,65,21
51,12,16,19,296,54,23
52,14,16,16,312,55,7
53,22,18,13,313,46,8
54,17,14,18,308,53,10
55,16,9,17,317,53,8
56,12,12,13,317,49,17
57,13,8,18,316,49,16
58,19,12,11,320,49,9
59,19,17,10,319,39,16
60,21,11,9,306,62,11
61,19,16,15,285,74,11
62,9,17,12,290,76,16
63,19,14,10,267,102,8
64,12,9,13,261,115,10
65,14,9,7,251,126,13
66,8,10,16,241,133,12
67,17,10,14,226,144,9
68,12,18,9,210,152,19
69,13,10,8,214,171,4
70,11,14,8,175,196,16
71,12,10,10,174,203,11
72,12,12,17,164,203,12
73,11,12,15,167,200,15
74,7,11,11,135,241,15
75,10,7,7,157,234,5
76,14,9,6,114,264,13
77,15,11,15,106,257,16
78,9,8,10,127,255,11
79,9,13,16,120,249,13
80,7,14,17,104,267,11
81,10,13,17,104,265,11
82,16,15,9,93,272,15
83,11,11,8,94,282,14
84,15,12,8,90,281,14
85,7,12,14,78,296,13
86,13,11,13,76,299,8
87,17,12,12,94,275,10
88,10,10,17,59,305,19
89,12,11,16,56,318,7
90,11,13,15,76,290,15
91,19,19,17,64,291,10
92,11,13,7,63,316,10
93,10,17,21,56,311,5
94,13,13,16,51,311,16
95,12,6,12,55,326,9
96,9,6,14,50,327,14
97,13,11,17,37,328,14
98,11,13,12,42,336,6
99,6,17,6,40,339,12
100,15,6,12,44,329,14
101,13,12,12,43,326,14
102,11,11,10,38,342,8
103,8,7,7,32,351,15
104,14,10,9,44,336,7
105,10,9,13,37,339,12
106,13,13,9,31,342,12
107,11,17,17,21,338,16
108,12,10,11,25,347,15
109,10,11,15,41,338,5
110,10,10,22,21,346,11
111,14,11,9,30,343,13
112,10,8,10,26,350,16
113,12,14,10,26,344,14
114,12,14,11,17,358,8
115,9,15,10,20,352,14
116,11,17,8,18,356,10
117,11,9,13,29,346,12
118,5,16,15,17,354,13
119,12,10,7,25,356,10
120,10,10,14,23,346,17
121,16,13,10,21,346,14
122,13,11,14,19,350,13
123,17,18,15,23,338,9
124,16,17,12,12,354,9
125,10,10,13,23,356,8
126,12,8,8,17,359,16
127,15,6,15,12,363,9
128,14,7,19,17,351,12
129,9,8,18,12,361,12
130,11,13,20,15,347,14
131,16,7,15,20,348,14
132,9,9,14,7,370,11
133,9,14,15,19,349,14
134,6,14,18,19,352,11
135,9,7,13,22,357,12
136,12,14,16,17,353,8
137,8,14,10,10,365,13
138,16,4,12,17,353,18
139,10,13,11,21,352,13
140,7,10,13,15,361,14
141,15,8,13,15,357,12
142,7,11,17,13,360,12
143,9,12,14,14,360,11
144,13,15,13,25,339,15
145,16,11,10,26,342,15
146,5,8,15,21,362,9
147,13,16,9,15,354,13
148,10,6,12,21,364,7
149,10,7,11,10,370,12
150,15,9,12,35,330,19
151,8,10,9,12,366,15
152,9,22,8,17,348,16
153,12,10,17,24,350,7
