iteration,exchange,exchangeRandom,inversion,swap,add,addRandomly,shift,change
0,50,50,50,50,50,50,50,50
1,51,56,58,59,36,51,43,46
2,33,52,38,33,40,40,48,116
3,25,115,31,31,31,35,31,101
4,28,79,31,29,29,28,32,144
5,34,139,29,27,24,20,28,99
6,27,170,38,21,21,25,18,80
7,20,194,17,27,29,20,24,69
8,21,146,12,26,28,15,21,131
9,18,109,24,15,30,6,23,175
10,15,85,26,17,17,24,20,196
11,18,71,23,12,16,23,19,218
12,10,54,25,10,8,25,14,254
13,14,39,26,22,11,25,18,245
14,16,40,29,10,10,17,16,262
15,24,33,14,17,19,13,16,264
16,19,39,12,20,20,17,18,255
17,22,31,15,13,26,20,15,258
18,19,22,19,13,28,23,13,263
19,19,23,21,14,24,21,14,264
20,15,19,16,22,22,21,6,279
21,20,16,27,10,9,18,14,286
22,8,16,25,19,19,22,7,284
23,15,14,26,13,20,26,12,274
24,16,8,25,15,30,15,17,274
25,14,18,16,20,12,11,12,297
26,16,18,13,20,22,11,17,283
27,12,19,11,28,18,10,19,283
28,14,22,16,22,17,19,21,269
29,10,13,16,29,17,13,16,286
30,10,17,11,18,15,12,17,300
31,21,20,19,23,17,19,21,260
32,18,15,30,89,8,15,16,209
33,20,15,21,73,15,7,14,235
34,19,18,22,50,18,16,13,244
35,17,14,19,113,21,22,10,184
36,18,15,25,101,13,14,17,197
37,16,27,20,70,16,8,13,230
38,26,21,12,56,23,20,8,234
39,21,25,22,42,11,22,15,242
40,21,17,17,44,21,16,15,249
41,18,17,19,27,18,12,20,269
42,27,11,17,30,27,16,22,250
43,24,16,12,29,21,13,18,267
44,13,9,18,21,86,15,30,208
45,20,21,8,17,65,16,24,229
46,17,21,18,19,45,17,25,238
47,15,26,18,21,48,23,14,235
48,19,14,23,12,42,14,20,256
49,11,17,13,13,64,15,22,245
50,11,12,26,13,63,12,18,245
51,22,21,26,15,41,14,22,239
52,13,23,25,17,32,10,17,263
53,16,20,20,15,27,22,34,246
54,14,21,28,18,37,10,16,256
55,17,10,27,15,27,19,17,268
56,17,8,14,22,21,12,21,285
57,19,11,21,14,25,15,22,273
58,19,10,24,22,23,15,25,262
59,24,20,18,13,19,15,17,274
60,19,21,18,17,23,12,16,274
61,24,15,91,17,24,12,17,200
62,21,17,56,18,26,14,94,154
63,19,20,131,14,22,20,68,106
64,10,16,99,31,20,17,47,160
65,24,29,76,10,10,25,48,178
66,17,25,52,10,17,18,34,227
67,17,18,43,17,29,17,36,223
68,19,17,34,27,19,15,22,247
69,18,23,34,19,7,20,36,243
70,13,29,20,14,23,11,22,268
71,29,29,24,12,21,18,17,250
72,13,31,15,17,22,21,18,263
73,13,27,28,15,11,16,21,269
74,14,29,15,19,27,10,17,269
75,14,19,13,17,25,15,17,280
76,29,20,21,19,20,19,11,261
77,26,14,25,18,20,20,11,266
78,15,23,21,12,16,15,18,280
79,18,12,24,17,24,17,12,276
80,17,10,14,22,18,15,12,292
81,18,21,23,16,15,17,12,278
82,13,19,13,15,15,16,17,292
83,14,22,16,17,20,21,23,267
84,16,21,20,21,22,14,14,272
85,17,20,22,17,17,21,11,275
86,13,25,12,15,22,85,17,211
87,17,20,21,21,15,84,21,201
88,17,11,19,20,13,141,19,160
89,13,21,21,21,8,97,19,200
90,18,17,18,16,26,62,16,227
91,19,10,15,23,20,65,27,221
92,20,18,19,16,17,43,11,256
93,13,20,17,10,22,48,21,249
94,4,18,23,18,16,28,16,277
95,17,18,26,6,25,35,20,253
96,17,13,24,19,13,24,25,265
97,21,23,16,23,18,17,17,265
98,14,17,22,9,18,23,31,266
99,17,14,13,10,14,22,19,291
