iteration,exchange,exchangeRandom,inversion,swap,add,addRandomly,shift,change,remove
0,365.182,365.182,365.182,365.182,365.182,365.182,365.182,365.182,365.182
1,365.182,365.182,353.424,365.182,365.182,365.182,365.182,353.424,178.823
2,353.424,353.424,194.098,365.182,353.424,365.182,365.182,353.424,192.163
3,365.182,353.424,184.47,174.208,201.676,365.182,196.73,200.874,365.182
4,353.424,353.424,196.73,365.182,201.676,178.855,353.424,365.182,215.304
5,353.424,196.18,353.424,365.182,365.182,211.944,221.51,353.424,202.414
6,365.182,221.724,208.956,209.092,212.392,206.639,221.732,353.424,353.424
7,365.182,215.692,197.862,221.732,203.79,215.304,221.51,221.724,202.417
8,353.424,201.96,204.017,212.392,190.153,201.676,207.901,365.182,211.944
9,353.424,211.944,230.93,212.392,202.561,233.713,365.182,222.118,221.724
10,233.713,213.884,218.675,229.965,353.424,221.732,210.984,222.118,365.182
11,365.182,220.723,228.684,213.884,233.71,214.89,233.713,353.424,221.724
12,233.713,365.182,222.643,232.697,229.641,220.723,353.424,232.714,232.701
13,365.182,236.219,232.659,233.654,233.713,232.686,232.697,232.714,353.424
14,232.786,353.424,232.593,365.182,234.683,253.659,233.654,233.713,227.822
