iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,50,50,50,50,50,50,50,50
1,54,55,63,62,52,62,43,9
2,56,52,50,44,55,34,106,3
3,47,38,44,39,42,31,157,2
4,31,32,72,51,27,24,163,0
5,28,22,141,42,33,17,117,0
6,33,19,173,34,28,18,95,0
7,24,14,208,41,15,17,81,0
8,22,15,227,36,18,18,64,0
9,15,5,270,36,15,9,50,0
10,14,4,259,38,13,10,62,0
11,8,6,284,41,8,14,39,0
12,10,2,290,45,9,5,39,0
13,13,5,285,53,5,4,35,0
14,12,7,294,49,7,6,25,0
15,5,2,308,46,11,7,21,0
16,6,4,318,47,6,4,15,0
17,5,0,320,46,7,6,16,0
18,3,1,324,47,7,8,10,0
19,7,3,324,43,7,4,12,0
20,4,0,329,47,3,6,11,0
21,4,0,332,50,2,6,6,0
22,8,0,328,49,5,4,6,0
23,4,0,331,48,2,6,9,0
24,3,1,332,46,5,4,9,0
25,5,0,339,49,0,1,6,0
26,4,2,330,52,5,1,6,0
27,1,3,327,52,5,6,6,0
28,3,0,330,51,5,5,6,0
29,4,2,327,53,2,6,6,0
30,2,1,336,50,4,3,4,0
31,1,0,332,52,5,5,5,0
32,4,0,333,54,4,1,4,0
33,2,0,338,54,3,2,1,0
34,2,0,333,55,3,3,4,0
35,3,0,332,60,2,2,1,0
36,2,1,325,61,3,3,5,0
37,5,1,324,59,4,3,4,0
38,2,0,329,60,1,5,3,0
39,1,0,333,60,2,1,3,0
40,8,1,328,55,3,2,3,0
41,3,1,328,57,3,3,5,0
42,3,1,331,55,4,3,3,0
43,4,2,325,54,8,1,6,0
44,4,0,329,59,5,1,2,0
45,4,0,333,58,1,1,3,0
46,0,0,329,59,5,3,4,0
47,3,0,329,62,3,2,1,0
48,2,1,323,60,2,5,7,0
49,5,1,325,56,3,5,5,0
50,4,0,336,53,2,2,3,0
51,2,0,341,53,1,2,1,0
52,1,0,332,55,3,5,4,0
53,4,2,331,52,3,4,4,0
54,4,1,334,57,1,1,2,0
55,2,1,324,60,2,9,2,0
56,1,2,329,61,2,2,3,0
57,3,1,329,59,2,1,5,0
58,4,0,322,58,11,1,4,0
59,0,0,333,57,5,3,2,0
60,2,1,334,56,3,1,3,0
61,2,1,329,55,6,4,3,0
62,0,0,323,60,8,3,6,0
63,3,0,326,60,7,1,3,0
64,4,2,323,62,1,4,4,0
65,5,1,321,61,4,3,5,0
66,1,0,323,58,5,6,7,0
67,0,0,319,62,11,3,5,0
68,2,1,327,62,4,3,1,0
69,4,0,326,62,4,2,2,0
70,5,0,323,61,5,3,3,0
71,4,0,323,59,4,6,4,0
72,2,3,332,52,2,3,6,0
73,3,1,330,55,2,4,5,0
74,1,0,330,54,3,5,7,0
75,4,1,325,56,4,8,2,0
76,3,0,332,58,0,5,2,0
77,1,0,327,59,5,3,5,0
78,0,1,334,59,1,3,2,0
79,2,0,329,62,2,2,3,0
80,3,1,317,61,5,11,2,0
81,3,1,327,61,1,2,5,0
82,4,2,322,58,5,4,5,0
83,2,1,321,66,2,3,5,0
84,0,0,330,66,2,1,1,0
85,3,1,318,65,4,2,7,0
86,2,0,325,67,3,0,3,0
87,5,0,322,65,4,2,2,0
88,1,1,320,65,4,3,6,0
89,5,0,317,66,3,3,6,0
90,3,0,324,65,6,0,2,0
91,3,0,322,64,9,1,1,0
92,1,0,329,64,4,0,2,0
93,3,0,326,65,3,2,1,0
94,6,0,318,67,4,3,2,0
95,6,2,316,67,1,2,6,0
96,3,13,317,58,2,2,5,0
