iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,50,50,50,50,50,50,50,50,50
1,49,50,58,41,53,49,61,42,47
2,40,41,46,68,50,56,54,49,46
3,48,43,33,73,51,48,44,41,69
4,46,43,46,59,63,45,54,39,55
5,48,53,47,58,48,60,41,44,51
6,43,48,51,36,47,83,39,45,58
7,48,38,55,55,51,79,38,34,52
8,36,32,32,53,71,100,37,39,50
9,36,42,39,48,51,111,46,32,45
10,49,30,44,44,48,116,45,37,37
11,37,36,41,42,48,121,42,42,41
12,38,42,46,32,43,129,37,48,35
13,31,35,29,40,51,140,38,47,39
14,41,41,42,35,33,131,38,43,46
15,38,36,26,31,43,150,36,46,44
16,65,48,22,40,48,117,30,35,45
17,62,33,64,35,44,99,39,27,47
18,45,37,71,34,38,102,30,41,52
19,53,42,71,47,36,87,39,38,37
20,63,31,80,35,36,78,54,37,36
21,50,34,97,25,36,80,34,53,41
22,58,40,97,32,38,65,56,32,32
23,60,49,104,34,28,75,37,32,31
24,51,42,90,36,23,62,74,38,34
25,37,56,85,36,29,60,90,31,26
26,53,31,80,33,31,84,69,35,34
27,72,28,80,35,35,75,49,36,40
28,64,33,76,30,40,78,71,27,31
29,51,32,62,46,34,107,59,31,28
30,65,33,56,32,39,84,58,43,40
31,63,32,43,44,39,114,53,25,37
32,47,46,50,35,36,104,51,42,39
33,49,34,49,36,34,95,52,54,47
34,45,35,48,40,30,89,53,83,27
35,46,27,36,38,42,103,37,74,47
36,45,25,37,33,66,90,46,74,34
37,42,35,36,34,80,69,55,58,41
38,40,36,45,26,68,94,61,46,34
39,34,29,42,46,52,85,71,55,36
40,38,21,39,30,81,91,53,58,39
41,38,22,41,40,81,78,47,58,45
42,47,31,35,55,93,56,48,44,41
43,46,33,33,36,98,63,43,57,41
44,39,36,39,30,100,77,41,35,53
45,41,31,33,33,103,54,36,51,68
46,42,40,45,31,87,68,34,50,53
47,31,58,47,42,90,51,26,44,61
48,27,51,55,29,80,49,37,39,83
49,40,38,48,31,82,48,28,44,91
50,36,53,49,24,50,39,37,47,115
51,29,62,40,38,65,39,28,36,113
52,25,83,48,37,50,45,33,31,98
53,28,84,42,39,56,45,41,27,88
54,25,109,40,38,53,24,52,39,70
55,24,120,39,31,53,42,26,39,76
56,33,135,40,40,42,42,34,26,58
57,29,135,41,17,45,40,49,33,61
58,35,117,43,24,50,31,32,52,66
59,32,142,68,28,40,33,38,30,39
60,22,163,37,25,36,30,38,42,57
61,30,124,39,37,43,32,35,36,74
62,32,139,48,32,42,34,29,34,60
63,37,144,44,29,41,36,35,36,48
64,35,146,38,24,37,40,33,46,51
65,42,172,34,30,33,31,35,25,48
66,40,138,29,32,34,35,60,34,48
67,33,151,52,24,29,36,45,29,51
68,31,141,42,36,33,35,60,37,35
69,32,124,31,32,45,31,59,33,63
70,27,145,36,33,46,40,46,32,45
71,26,129,47,28,41,31,52,57,39
72,32,122,34,39,47,45,48,49,34
73,44,114,32,55,46,29,35,45,50
74,31,121,29,44,33,51,54,44,43
75,25,111,35,59,33,30,81,38,38
76,36,87,39,86,29,34,58,42,39
77,35,80,29,106,31,30,53,42,44
78,32,85,45,92,39,35,58,36,28
79,29,79,30,134,37,28,46,42,25
80,39,88,24,102,43,19,47,56,32
81,27,71,26,90,30,47,42,81,36
82,26,67,31,75,36,37,41,106,31
83,44,61,30,63,38,35,45,99,35
84,42,52,34,56,39,52,42,107,26
85,29,67,20,59,47,29,34,131,34
86,24,80,35,76,33,29,43,93,37
87,27,79,40,65,44,34,41,87,33
88,34,86,34,51,43,31,38,106,27
89,36,100,32,50,38,32,27,90,45
90,45,117,25,47,34,34,40,79,29
91,46,117,24,48,34,34,46,71,30
92,30,118,22,38,33,41,66,72,30
93,30,108,35,47,34,37,73,57,29
94,35,113,36,40,37,39,72,39,39
95,31,115,25,36,49,23,69,56,46
96,26,141,31,45,37,36,46,47,41
97,36,128,39,43,34,32,58,45,35
98,34,142,41,40,39,23,58,39,34
99,28,117,30,56,40,37,75,30,37
100,26,118,40,33,44,34,87,34,34
101,36,99,27,35,35,30,90,61,37
102,33,104,31,34,29,28,97,57,37
103,26,81,29,41,28,50,91,55,49
104,36,77,27,52,32,71,77,54,24
105,28,61,24,68,32,72,72,49,44
106,37,75,31,50,25,83,70,47,32
107,29,69,32,83,34,77,58,41,27
108,26,56,30,70,31,104,61,38,34
109,34,48,31,78,37,99,58,31,34
110,30,61,21,66,25,111,56,40,40
111,34,54,35,56,27,113,53,46,32
112,26,53,47,51,39,121,47,29,37
113,30,35,35,49,38,141,51,40,31
114,22,47,37,37,42,147,40,44,34
115,25,43,39,49,35,145,34,45,35
116,39,47,32,51,35,128,44,38,36
117,38,41,44,46,28,140,38,48,27
118,31,40,50,34,54,136,38,29,38
119,23,36,44,46,43,146,36,32,44
120,30,35,57,45,45,129,28,40,41
121,32,26,65,35,46,147,33,39,27
122,26,44,47,37,32,155,30,37,42
123,40,36,47,41,27,148,37,32,42
124,40,33,40,42,38,139,34,37,47
125,33,36,54,32,42,163,30,28,32
126,43,25,42,40,29,170,37,33,31
127,48,32,45,31,40,149,28,45,32
128,41,34,36,40,31,164,31,45,28
129,37,41,44,34,35,162,22,38,37
130,36,36,36,45,39,155,26,38,39
131,47,35,30,41,41,151,29,46,30
132,48,25,37,56,43,141,30,37,33
133,40,31,37,32,44,149,34,48,35
134,42,33,37,40,32,152,41,41,32
135,46,36,34,33,39,166,28,41,27
136,42,37,34,31,36,168,34,36,32
137,39,55,26,31,54,157,37,21,30
138,26,36,40,26,75,138,44,37,28
139,25,31,37,32,75,141,30,50,29
140,24,26,30,36,92,124,17,57,44
141,11,18,25,44,84,115,27,68,58
142,27,24,40,59,50,88,35,69,58
143,29,23,50,64,75,71,18,49,71
144,16,18,66,60,65,72,28,44,81
145,17,28,58,71,75,76,24,49,52
146,19,51,49,76,71,81,13,57,33
147,12,55,60,65,56,93,13,70,26
148,18,41,81,60,53,80,26,68,23
149,16,48,62,67,59,55,17,85,41
150,22,41,75,60,81,61,18,59,33
151,17,51,59,78,73,57,24,62,29
152,21,60,56,91,82,27,23,63,27
153,23,50,59,64,85,46,28,62,33
154,22,80,50,62,84,40,38,50,24
155,38,85,39,74,83,35,26,39,31
156,32,92,53,58,81,31,30,44,29
157,32,90,46,62,73,33,29,55,30
158,29,117,40,50,80,33,22,52,27
159,36,114,36,46,65,29,28,58,38
160,34,110,38,33,50,26,35,93,31
161,30,85,30,69,49,23,29,107,28
162,32,76,37,72,43,40,25,101,24
163,28,99,30,57,46,30,27,94,39
164,25,65,41,73,48,28,32,116,22
165,22,65,28,67,42,27,28,139,32
166,27,68,41,85,42,33,26,101,27
167,21,58,40,95,45,40,36,88,27
168,30,56,40,120,36,34,32,75,27
