iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,50,50,50,50,50,50,50,50
1,53,48,64,55,60,57,49,14
2,36,167,62,34,38,24,35,4
3,19,101,29,21,25,167,38,0
4,11,210,26,11,13,104,25,0
5,6,131,13,13,5,208,24,0
6,2,87,7,4,1,278,21,0
7,2,206,12,8,0,157,15,0
8,1,287,11,1,1,90,9,0
9,1,320,9,1,0,66,3,0
10,0,349,9,3,2,33,4,0
11,0,365,9,1,1,20,4,0
12,0,370,10,1,2,17,0,0
13,0,380,10,0,1,9,0,0
14,0,380,13,2,2,2,1,0
15,0,377,15,3,2,1,2,0
16,0,374,16,4,0,5,1,0
17,0,375,16,2,3,2,2,0
18,0,380,17,0,1,2,0,0
19,1,378,17,0,2,1,1,0
20,0,377,15,2,1,4,1,0
21,0,380,15,0,0,2,3,0
22,0,382,15,1,0,0,2,0
23,0,382,16,0,0,1,1,0
24,0,376,17,2,1,3,1,0
25,0,377,18,4,0,0,1,0
26,0,377,20,2,1,0,0,0
27,0,376,20,0,1,1,2,0
28,1,376,19,0,3,0,1,0
29,0,378,20,2,0,0,0,0
30,0,376,20,3,0,0,1,0
31,0,375,21,0,1,1,2,0
32,0,377,21,1,0,0,1,0
33,0,376,21,0,1,1,1,0
34,0,373,23,1,1,0,2,0
35,0,374,24,2,0,0,0,0
36,0,374,24,1,0,0,1,0
37,0,370,24,1,1,4,0,0
38,0,371,24,2,2,1,0,0
39,1,373,23,2,0,1,0,0
40,0,367,25,1,2,2,3,0
41,0,369,26,2,1,1,1,0
42,1,370,27,0,2,0,0,0
43,1,367,28,0,0,2,2,0
44,0,369,27,0,2,2,0,0
45,0,366,28,3,1,2,0,0
46,0,367,27,1,3,1,1,0
47,1,367,27,0,1,1,3,0
48,1,365,27,1,2,3,1,0
49,0,367,28,0,2,1,2,0
50,0,369,28,0,2,1,0,0
51,0,367,28,2,1,1,1,0
52,0,211,19,165,1,3,1,0
53,2,148,7,237,3,1,2,0
54,2,67,3,322,2,3,1,0
55,0,201,3,193,0,3,0,0
56,1,285,3,108,0,1,2,0
57,0,313,5,80,0,2,0,0
58,1,341,4,51,1,1,1,0
59,0,376,3,21,0,0,0,0
60,0,373,4,17,2,2,2,0
61,0,387,5,7,0,1,0,0
62,0,380,5,11,1,1,2,0
63,0,387,4,4,0,4,1,0
64,0,387,5,1,2,3,2,0
65,1,388,5,1,2,2,1,0
66,0,391,5,1,0,0,3,0
67,0,390,6,0,1,2,1,0
68,0,385,8,2,1,0,4,0
69,0,390,8,1,0,1,0,0
70,0,387,8,2,1,0,2,0
71,0,381,11,2,2,2,2,0
72,0,387,11,1,1,0,0,0
73,0,384,11,3,1,0,1,0
74,0,382,10,2,1,2,3,0
75,0,385,10,1,0,2,2,0
76,0,385,10,2,1,0,2,0
77,0,384,12,1,1,1,1,0
78,0,383,14,0,0,1,2,0
79,0,382,15,0,1,2,0,0
80,0,380,16,1,2,0,1,0
81,0,379,15,2,1,1,2,0
82,0,379,17,1,2,1,0,0
83,0,381,17,0,1,0,1,0
84,0,381,17,2,0,0,0,0
85,0,374,20,2,2,1,1,0
86,0,373,20,3,1,1,2,0
87,0,372,21,3,1,1,2,0
88,0,376,20,1,1,2,0,0
89,0,371,22,1,2,3,1,0
90,0,373,22,2,2,1,0,0
91,0,369,22,2,2,4,1,0
92,0,367,24,1,2,5,1,0
93,0,371,25,1,1,2,0,0
94,0,368,26,2,2,2,0,0
95,0,370,28,1,0,1,0,0
96,0,367,29,2,1,1,0,0
97,0,364,31,2,1,1,1,0
98,0,365,30,1,2,2,0,0
99,0,362,31,0,3,1,3,0
100,2,363,30,1,3,0,1,0
101,0,360,31,2,2,2,3,0
102,0,366,31,1,2,0,0,0
103,0,361,32,1,3,2,1,0
104,0,361,32,2,1,2,2,0
105,0,359,33,1,4,3,0,0
106,0,357,36,1,3,2,1,0
107,0,360,36,1,1,0,2,0
108,0,358,37,1,2,2,0,0
109,0,357,37,2,3,0,1,0
110,0,355,38,2,2,2,1,0
111,0,356,41,3,0,0,0,0
112,0,350,43,2,2,2,1,0
113,0,352,45,0,1,0,2,0
114,1,353,43,1,0,1,1,0
115,0,348,43,3,4,2,0,0
116,0,277,40,0,83,0,0,0
117,0,245,28,1,124,2,0,0
118,0,193,19,2,180,3,3,0
119,0,290,18,1,86,1,4,0
120,1,247,16,1,131,3,1,0
121,0,228,12,0,156,3,1,0
122,1,203,7,2,177,7,3,0
123,0,207,7,1,173,9,3,0
124,0,120,3,1,266,8,2,0
125,0,66,1,0,324,8,1,0
126,2,42,1,0,347,8,0,0
127,2,33,2,0,354,7,2,0
128,3,13,1,0,374,6,3,0
129,2,14,1,0,375,6,2,0
130,0,7,0,0,386,6,1,0
131,0,4,2,0,385,8,1,0
132,0,3,1,0,383,11,2,0
133,2,2,2,0,381,13,0,0
134,0,3,2,0,378,14,3,0
135,1,5,0,0,374,18,2,0
136,2,2,2,0,375,19,0,0
137,1,4,3,0,371,19,2,0
138,1,0,2,0,377,20,0,0
139,0,2,1,0,376,21,0,0
140,0,3,0,0,375,22,0,0
141,0,4,0,0,371,22,3,0
142,1,1,0,0,372,24,2,0
143,5,1,1,1,365,23,4,0
144,1,0,0,0,376,23,0,0
145,2,4,2,0,369,22,1,0
146,2,1,1,0,371,24,1,0
