iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,63,65,65,71,70,79,72,75
2,69,64,81,57,67,63,93,66
3,56,58,128,66,62,69,63,58
4,53,64,118,55,58,74,82,56
5,62,55,128,61,52,50,84,68
6,61,59,138,54,55,49,73,71
7,57,44,142,46,61,54,105,51
8,50,35,132,65,51,52,125,50
9,50,48,147,38,33,43,158,43
10,45,42,127,36,31,53,168,58
11,42,33,125,45,37,44,197,37
12,35,47,121,40,31,31,182,73
13,40,46,108,42,36,42,164,82
14,46,35,105,32,45,35,155,107
15,34,38,104,42,29,35,145,133
16,34,34,92,40,36,28,146,150
17,38,39,82,29,31,31,122,188
18,31,37,83,36,28,26,109,210
19,24,36,64,25,36,32,131,212
20,19,24,76,25,24,35,125,232
21,38,33,57,25,38,24,96,249
22,30,23,72,22,35,28,110,240
23,30,27,53,32,26,19,98,275
24,32,30,60,26,21,29,77,285
25,32,23,49,21,24,21,89,301
26,23,19,52,25,58,31,91,261
27,19,18,51,14,85,21,82,270
28,24,27,44,20,98,17,66,264
29,21,27,41,24,107,23,73,244
30,22,13,50,19,150,20,64,222
31,22,25,53,17,160,27,62,194
32,16,19,43,21,205,17,46,193
33,25,21,42,27,212,14,51,168
34,15,18,40,25,230,16,44,172
35,22,17,39,22,205,20,53,182
36,22,9,40,16,251,17,50,155
37,13,18,32,15,287,15,45,135
38,13,16,35,18,282,21,36,139
39,29,14,36,17,262,17,47,138
40,22,21,27,18,299,14,40,119
41,22,15,27,18,296,13,40,129
42,17,15,19,22,330,11,47,99
43,15,10,28,17,330,19,41,100
44,15,17,35,18,317,14,36,108
45,28,14,27,15,344,13,30,89
46,20,18,27,11,364,11,28,81
47,12,22,19,15,358,21,25,88
48,18,17,20,9,373,11,29,83
49,16,11,23,11,374,18,29,78
50,14,16,17,10,380,16,28,79
51,13,10,12,12,363,16,32,102
52,15,15,8,12,385,14,24,87
53,17,14,23,16,362,14,31,83
54,14,11,15,15,380,14,26,85
55,13,12,27,17,362,21,32,76
56,14,15,19,12,383,11,24,82
57,17,14,15,15,390,12,27,70
58,11,20,14,10,401,19,26,59
59,13,10,21,14,414,16,21,51
60,10,11,13,8,440,11,21,46
61,8,7,18,18,420,17,19,53
62,16,8,17,8,405,17,19,70
63,17,14,10,7,432,13,17,50
64,14,19,17,19,409,14,22,46
65,14,22,16,10,418,11,19,50
66,10,11,14,12,437,10,24,42
67,9,8,23,8,466,4,13,29
68,15,13,15,37,418,15,10,37
69,15,7,13,60,399,16,18,32
70,16,14,13,94,348,10,22,43
71,10,14,16,101,356,8,20,35
72,11,9,8,131,339,15,16,31
73,14,9,23,132,324,14,8,36
74,11,14,9,172,275,11,28,40
75,15,17,13,174,277,15,25,24
76,9,11,14,196,264,17,25,24
77,5,16,17,206,236,24,26,30
78,12,8,15,232,217,15,38,23
79,16,11,15,223,226,17,21,31
80,13,12,17,264,192,15,23,24
81,5,14,19,278,181,18,19,26
82,11,16,20,281,167,14,33,18
83,10,6,16,280,186,15,20,27
84,8,8,13,315,165,21,14,16
85,15,19,13,329,131,12,15,26
86,9,9,14,354,124,8,16,26
87,12,7,11,324,146,15,19,26
88,7,7,20,357,123,9,23,14
89,8,7,9,359,138,11,14,14
90,7,6,17,334,114,12,48,22
91,21,9,13,324,89,21,65,18
92,14,10,15,292,122,10,77,20
93,12,7,17,280,96,8,93,47
94,11,15,13,278,78,9,85,71
95,20,8,8,243,108,15,75,83
96,6,14,16,240,92,12,65,115
97,18,5,16,221,108,9,71,112
98,12,13,16,208,127,14,69,101
99,10,7,10,213,150,10,69,91
100,12,10,13,193,154,15,69,94
101,9,10,7,187,185,18,53,91
102,10,10,13,169,208,7,54,89
103,11,6,8,158,197,10,63,107
104,12,15,12,141,187,6,47,140
105,6,7,14,136,179,16,49,153
106,13,22,12,129,160,14,51,159
107,4,12,10,137,151,7,39,200
108,19,7,9,117,134,15,52,207
109,14,12,12,95,136,21,35,235
110,15,11,17,108,124,13,44,228
111,15,10,13,117,119,11,34,241
112,9,12,11,101,101,15,47,264
113,14,12,12,89,117,8,30,278
114,18,9,11,76,121,14,31,280
115,10,16,11,81,93,12,44,293
116,20,13,12,55,89,15,44,312
117,14,14,11,66,105,7,30,313
118,11,13,13,63,78,11,28,343
119,7,9,26,66,75,11,23,343
120,9,19,11,61,69,13,25,353
121,6,15,12,65,64,9,37,352
122,15,15,13,48,54,10,24,381
123,14,8,19,53,76,12,24,354
124,15,12,16,49,59,21,18,370
125,12,6,11,52,69,14,27,369
126,14,5,18,41,55,13,24,390
127,11,6,7,52,65,10,33,376
128,11,15,13,46,51,9,44,371
129,18,10,11,42,48,9,62,360
130,8,6,9,47,48,19,64,359
131,10,6,14,38,43,6,84,359
132,7,15,7,31,42,15,82,361
133,14,11,15,32,41,4,87,356
134,14,7,13,44,44,12,106,320
135,9,11,9,38,47,14,102,330
136,16,12,14,26,52,12,116,312
137,15,7,14,28,54,16,130,296
138,6,17,18,25,55,9,137,293
139,9,8,8,29,28,12,141,325
140,15,15,13,31,33,8,141,304
141,6,10,13,32,36,7,130,326
142,17,17,17,26,32,14,151,286
143,11,10,11,29,34,11,192,262
144,15,11,15,26,25,11,198,259
145,15,13,11,30,22,9,184,276
146,9,13,14,26,33,9,207,249
147,4,11,10,27,26,14,209,259
148,9,10,15,17,32,10,229,238
149,7,7,10,21,32,8,262,213
150,10,13,13,25,24,14,258,203
151,6,13,9,17,19,14,303,179
152,11,10,15,19,26,10,291,178
153,11,9,7,22,36,9,276,190
154,15,9,9,20,25,11,303,168
155,9,20,8,17,21,13,278,194
156,12,16,11,17,21,14,282,187
157,15,11,15,15,20,10,320,154
158,11,11,15,20,21,18,278,186
159,13,14,13,14,29,11,273,193
160,14,9,14,17,19,13,296,178
161,13,6,14,12,21,8,320,166
162,10,36,11,9,22,10,297,165
163,12,63,11,16,20,11,275,152
164,10,63,9,16,19,11,280,152
165,11,70,15,14,14,18,248,170
