iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,50,50,50,50,50,50,50,50,50
1,51,57,58,45,41,41,58,52,47
2,126,35,38,46,40,36,45,40,44
3,92,25,27,31,36,124,37,44,34
4,153,31,34,24,29,92,27,27,33
5,217,33,25,15,26,68,25,23,18
6,183,24,15,14,24,129,21,20,20
7,137,16,19,19,20,189,17,14,19
8,92,21,12,12,11,260,15,7,20
9,105,17,12,14,9,259,13,13,8
10,67,6,9,16,9,322,8,6,7
11,64,14,6,7,8,336,6,3,6
12,46,4,15,8,9,348,7,7,6
13,37,9,1,5,5,368,9,4,12
14,30,6,3,3,8,386,4,3,7
15,35,5,4,4,4,378,7,7,6
16,21,2,6,4,5,396,4,6,6
17,12,4,4,3,5,413,3,2,4
18,8,2,2,3,7,408,4,7,9
19,17,1,3,3,2,418,2,2,2
20,6,3,5,4,5,408,6,4,9
21,6,3,8,1,1,420,4,2,5
22,5,1,1,3,2,430,5,2,1
23,7,1,6,5,4,423,0,2,2
24,7,2,2,3,3,421,6,3,3
25,3,2,5,3,4,422,6,2,3
26,5,4,0,4,1,426,5,1,4
27,6,4,1,4,5,428,1,0,1
28,6,3,0,2,4,428,5,2,0
29,2,2,2,4,1,431,3,4,1
30,3,2,6,2,7,419,3,5,3
31,7,3,4,1,1,428,2,1,3
32,3,2,3,5,2,429,3,1,2
33,1,3,2,3,2,434,1,2,2
34,4,2,7,2,3,421,6,2,3
35,4,0,3,4,3,431,2,1,2
36,8,2,6,1,4,422,2,1,4
37,2,3,3,3,2,430,1,5,1
38,4,1,4,5,3,426,4,0,3
39,0,1,2,5,4,433,3,1,1
40,4,2,4,4,5,424,3,3,1
41,4,3,1,2,2,426,4,4,4
42,0,4,3,5,1,431,3,2,1
43,0,2,5,4,5,430,1,1,2
44,1,4,4,1,2,433,2,2,1
45,2,3,4,3,3,429,1,3,2
46,3,5,2,5,2,428,3,2,0
47,0,0,2,0,2,433,4,6,3
48,3,3,2,2,1,430,3,3,3
49,3,3,3,2,1,431,4,0,3
50,2,5,1,6,1,425,4,3,3
51,0,5,2,6,1,430,2,2,2
52,3,2,1,7,1,426,4,4,2
53,8,6,1,9,1,419,5,0,1
54,1,2,1,1,5,435,3,1,1
