iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,100,100,100,100,100,100,100,100
1,92,109,110,88,109,93,105,94
2,138,97,135,75,88,100,83,84
3,214,80,123,86,76,62,80,79
4,169,70,104,176,63,67,85,66
5,147,57,93,140,57,53,178,75
6,116,54,73,115,179,59,139,65
7,102,63,179,88,138,54,122,54
8,94,57,257,82,112,55,101,42
9,84,54,194,79,95,161,89,44
10,60,53,177,170,76,143,74,47
11,59,48,127,243,87,106,81,49
12,63,55,126,289,68,85,65,49
13,50,50,108,318,70,85,65,54
14,179,40,81,279,50,63,60,48
15,231,41,84,237,44,56,50,57
16,192,48,71,289,48,48,55,49
17,160,45,80,331,48,46,51,39
18,133,38,64,360,54,53,44,54
19,121,36,67,275,44,55,46,156
20,77,45,59,231,56,50,47,235
21,65,31,57,220,46,58,35,288
22,64,51,58,168,45,43,32,339
23,64,33,52,154,49,37,50,361
24,57,36,55,111,41,56,42,402
25,40,47,41,63,55,43,49,462
26,51,34,49,92,41,44,34,455
27,150,42,52,70,53,33,47,353
28,125,45,52,61,40,41,48,388
29,95,44,42,71,43,36,55,414
30,84,49,37,177,41,39,50,323
31,71,56,27,158,45,30,34,379
32,60,48,48,117,37,46,50,394
33,61,51,44,90,41,41,44,428
34,63,35,38,85,44,44,39,452
35,49,45,39,84,52,38,57,436
36,60,45,37,167,59,36,48,348
37,50,48,45,246,50,26,47,288
38,54,45,52,210,46,39,52,302
39,60,46,41,162,42,38,46,365
40,47,42,46,138,45,43,38,401
41,66,42,47,122,56,23,40,404
42,43,39,40,111,46,40,43,438
43,35,132,56,112,52,45,41,327
44,40,144,32,81,54,41,35,373
45,55,106,21,88,51,38,42,399
46,160,81,38,74,42,57,34,314
47,109,84,42,61,39,61,47,357
48,101,87,44,63,33,40,39,393
49,103,53,27,52,35,47,51,432
50,75,76,29,44,29,51,49,447
51,72,79,36,46,32,35,46,454
52,143,64,37,52,54,38,44,368
53,262,74,39,45,43,43,41,253
54,199,154,46,57,37,37,46,224
55,166,242,41,47,49,53,36,166
56,228,219,43,58,36,30,52,134
57,304,162,53,50,37,40,32,122
58,341,158,38,52,33,34,50,94
59,292,197,49,48,36,47,40,91
60,205,172,43,44,47,178,41,70
61,299,146,31,47,49,130,34,64
62,334,126,31,52,61,101,32,63
63,379,92,32,39,49,91,44,74
64,430,82,36,44,41,74,40,53
65,412,80,35,48,51,83,42,49
66,456,56,42,38,45,67,49,47
67,354,66,39,141,45,69,33,53
68,387,52,43,114,53,48,46,57
69,428,53,50,88,40,42,44,55
70,433,65,49,77,36,46,51,43
71,435,47,45,78,47,45,53,50
72,481,45,35,62,44,32,42,59
73,460,47,56,42,55,49,37,54
74,456,61,58,48,54,31,43,49
75,341,61,54,172,47,37,40,48
76,396,43,58,152,29,38,38,46
77,422,34,42,125,50,41,37,49
78,349,49,41,188,51,45,44,33
79,382,46,28,155,46,46,42,55
80,392,42,42,131,53,49,42,49
81,429,36,45,109,45,52,44,40
82,463,42,31,87,35,40,55,47
83,368,34,34,176,39,52,51,46
84,378,46,44,144,47,42,60,39
85,422,39,30,117,37,42,66,47
86,448,42,39,86,43,44,51,47
87,463,39,42,84,34,47,47,44
88,459,39,48,82,45,48,39,40
89,369,30,41,193,42,41,37,47
90,288,37,45,130,36,153,54,57
91,206,38,47,144,48,119,46,152
92,199,48,36,95,38,122,44,218
93,156,37,41,58,48,115,43,302
94,217,53,50,57,48,79,45,251
95,311,38,54,63,39,72,37,186
96,322,48,40,60,40,76,58,156
97,370,43,51,70,40,56,42,128
98,308,42,47,56,37,65,40,205
