it;exchange;exchange;exchange;exchangeRand;exchangeRand;exchangeRand;swap;swap;swap;inversion;inversion;inversion;scramble;scramble;scramble;randShuffle;randShuffle;randShuffle;add;add;add;addRand;addRand;addRand
0;30;759,827;683,653;30;747,302;685,729;30;767,982;676,453;30;745,136;687,046;30;743,77;661,977;30;734,762;651,65;30;733,238;674,986;30;756,366;688,645
1;236;785,056;693,278;3;686,743;635,408;0;767,982;676,453;0;745,136;687,046;1;663,776;663,776;0;734,762;651,65;0;733,238;674,986;0;756,366;688,645
2;234;800,039;734,106;2;702,232;695,931;0;767,982;676,453;0;745,136;687,046;3;778,558;727,615;1;773,443;773,443;0;733,238;674,986;0;756,366;688,645
3;232;815,07;753,446;1;704,321;704,321;1;735,262;735,262;0;745,136;687,046;1;745,058;745,058;2;740,756;723,358;1;738,747;738,747;2;764,344;725,737
4;227;825,978;803,115;2;815,07;815,07;1;815,024;815,024;0;745,136;687,046;5;815,217;797,498;1;802,014;802,014;2;789,49;781,376;2;819,911;806,743
5;223;833,917;829,314;0;815,07;815,07;3;825,978;822,039;1;826,041;826,041;5;825,978;822,596;3;825,978;783,513;3;838,802;830,885;2;825,978;820,524
6;212;838,89;832,113;7;844,74;828,466;4;834,065;833,891;1;833,917;833,917;7;834,203;831,855;5;812,066;795,761;2;838,891;838,738;2;843,659;841,216
7;207;851,802;834,453;7;841,092;824,023;5;833,917;832,114;3;833,044;828,372;6;838,653;835,212;6;838,721;785,706;4;851,796;846,463;2;842,947;838,432
8;194;853,871;844,751;8;851,802;840,866;7;851,802;846,139;1;842,807;842,807;8;851,873;835,482;8;851,802;822,028;6;856,734;850,749;8;862,549;846,367
9;182;868,681;858,602;12;860,694;849,574;7;853,938;853,547;8;853,986;851,871;16;853,944;852,265;3;833,377;804,894;7;871,616;860,779;5;861,692;857,579
10;160;885,488;868,375;17;872,47;846,179;7;863,658;851,492;8;868,681;863,372;21;868,823;860,774;8;848,012;808,742;9;885,468;873,571;10;886,301;866,112
11;159;897,249;881,212;7;882,403;866,247;9;879,789;875,318;8;879,798;869,981;22;879,656;853,249;13;879,656;843,093;6;897,479;886,547;16;886,453;860,581
